Invoice,Date,Customer,Store
05089989,1996-11-15,01931,Liverpool
08056326,1996-11-24,05000,Cardiff
05019107,1996-11-17,07374,Glasgow
01046876,1996-11-14,00033,Liverpool
03095046,1996-11-12,08857,Newcastle
01030516,1996-11-03,05644,Cardiff
06033198,1996-11-10,04714,Swansea
05052604,1996-11-24,04672,Edinburgh
00055606,1996-11-07,08787,Glasgow
06029904,1996-11-17,00946,Liverpool
01072339,1996-11-22,05086,Edinburgh
00033254,1996-11-28,05966,Sheffield
04070173,1996-11-05,02081,Edinburgh
06010928,1996-11-30,01449,London
04052930,1996-11-18,05016,Cardiff
01063242,1996-11-17,08301,Dover
00080597,1996-11-30,09261,Glasgow
06039460,1996-11-11,04463,Newcastle
09080644,1996-11-03,01672,Felixstowe
09055039,1996-11-16,04616,Sheffield
04082860,1996-11-16,09624,Felixstowe
07085523,1996-11-29,02509,Edinburgh
05065811,1996-11-28,00419,Aberdeen
03043166,1996-11-17,03581,Newcastle
04076163,1996-11-03,04740,Southamton
02004108,1996-11-01,07215,Manchester
03000415,1996-11-18,07191,Plymouth
05047769,1996-11-18,06545,Felixstowe
04042142,1996-11-13,02784,Carlisle
06058209,1996-11-05,05183,Glasgow
05074861,1996-11-21,03201,Sheffield
01097870,1996-11-25,02754,Plymouth
01017570,1996-11-18,01313,Cambridge
09025601,1996-11-19,00519,Brimingham
00034456,1996-11-05,04594,Edinburgh
08097182,1996-11-01,00898,Swansea
08006886,1996-11-06,09742,Cardiff
02031767,1996-11-23,06648,Manchester
04067875,1996-11-13,04366,Brimingham
07076388,1996-11-10,08505,Liverpool
09005390,1996-11-08,04774,Newcastle
08042888,1996-11-29,05646,Grimsby
10094774,1996-11-02,01285,Sheffield
10050189,1996-11-07,05809,Manchester
02035963,1996-11-28,06276,Felixstowe
10029270,1996-11-09,05785,Southamton
09041027,1996-11-28,06484,Southamton
07051332,1996-11-18,00837,London
04089677,1996-11-19,01259,Edinburgh
05054846,1996-11-18,08987,Manchester
01035426,1996-11-17,03088,Brimingham
00074146,1996-11-27,06961,Carlisle
01069951,1996-11-17,02323,Edinburgh
02050353,1996-11-09,00064,Brimingham
10007249,1996-11-06,03521,Manchester
03067115,1996-11-13,07421,Southamton
04045633,1996-11-14,03303,Dover
07079851,1996-11-07,07602,Sheffield
03061527,1996-11-05,05920,Dover
03054117,1996-11-04,09680,London
10066608,1996-11-27,02048,Cambridge
08053519,1996-11-07,09802,Glasgow
10000863,1996-11-23,06966,Manchester
01029028,1996-11-28,07733,Glasgow
00025260,1996-11-02,01540,Felixstowe
06018859,1996-11-26,03393,Liverpool
02005928,1996-11-20,06610,London
09028324,1996-11-28,09057,Aberdeen
10043968,1996-11-19,01817,Grimsby
09093540,1996-11-08,09383,Cardiff
05016801,1996-11-06,03269,Cardiff
02045770,1996-11-26,07476,London
03047712,1996-11-29,05427,Southamton
09055088,1996-11-13,03821,Edinburgh
05085840,1996-11-22,05223,Glasgow
04092063,1996-11-11,09399,Southamton
06051724,1996-11-07,04628,Liverpool
10067771,1996-11-04,05801,Edinburgh
00096244,1996-11-14,07340,Liverpool
02070804,1996-11-19,06077,Aberdeen
06062338,1996-11-07,09433,London
02040886,1996-11-16,00950,Glasgow
01046160,1996-11-25,01197,Felixstowe
01053432,1996-11-15,03947,Manchester
10082788,1996-11-08,07861,Felixstowe
01046418,1996-11-03,01872,Newcastle
00012840,1996-11-13,06408,Glasgow
05080573,1996-11-19,08692,Southamton
10030047,1996-11-16,07140,Swansea
06095130,1996-11-09,05135,Sheffield
07031732,1996-11-24,07949,Cardiff
06013767,1996-11-24,09576,Newcastle
08009720,1996-11-20,07563,Cambridge
08081203,1996-11-02,02732,Newcastle
08044225,1996-11-27,03923,Newcastle
00053491,1996-11-14,07789,Glasgow
07061733,1996-11-26,07130,Swansea
08027569,1996-11-16,07127,Glasgow
07085511,1996-11-04,05318,Cardiff
07078204,1996-11-28,02466,Dover
10076034,1996-11-03,09161,Newcastle
10075684,1996-11-30,04242,Southamton
03080168,1996-11-09,04573,Brimingham
01054786,1996-11-04,01610,Grimsby
08093970,1996-11-16,05911,Dover
03097635,1996-11-18,09859,Cardiff
01040306,1996-11-03,04628,Glasgow
01087419,1996-11-22,03193,Aberdeen
04005526,1996-11-08,05333,Edinburgh
01001436,1996-11-11,04063,Sheffield
07072977,1996-11-02,02286,Plymouth
10088895,1996-11-11,07297,Plymouth
04099634,1996-11-08,08710,Dover
09094700,1996-11-17,05576,Cambridge
06087289,1996-11-12,02955,Carlisle
04016317,1996-11-11,09106,Manchester
02083554,1996-11-08,01950,Grimsby
09000249,1996-11-05,03079,Cardiff
00005645,1996-11-13,04509,Felixstowe
05053007,1996-11-15,07054,Carlisle
01080919,1996-11-17,06226,Aberdeen
02035024,1996-11-30,05183,Newcastle
04059790,1996-11-10,01360,Southamton
03088215,1996-11-02,08567,Plymouth
08090099,1996-11-09,07566,Cardiff
09069551,1996-11-14,06958,Carlisle
06026081,1996-11-01,04682,Southamton
10029900,1996-11-02,06619,Edinburgh
10051073,1996-11-24,07293,Edinburgh
09037400,1996-11-03,08480,Dover
01081459,1996-11-26,07844,Edinburgh
05024512,1996-11-29,03566,Aberdeen
04015607,1996-11-20,07855,Southamton
07039704,1996-11-08,09258,Manchester
07009877,1996-11-24,01884,Sheffield
05007213,1996-11-05,04179,Glasgow
09086487,1996-11-18,01184,Dover
05015254,1996-11-16,01399,Sheffield
01074613,1996-11-12,08524,Aberdeen
00024837,1996-11-22,06660,Edinburgh
01020088,1996-11-19,03764,Cardiff
07032456,1996-11-20,04649,Aberdeen
01075601,1996-11-10,01098,Newcastle
06049981,1996-11-25,02984,Manchester
09065940,1996-11-10,08833,London
01006451,1996-11-23,07037,London
07000007,1996-11-12,03313,Grimsby
02077979,1996-11-07,02815,Swansea
04018684,1996-11-26,04981,Glasgow
01062823,1996-11-19,04099,Edinburgh
06038056,1996-11-06,05076,Southamton
00064684,1996-11-24,05962,Newcastle
03099215,1996-11-05,03785,Swansea
02036268,1996-11-15,02535,Cambridge
03083298,1996-11-24,06549,Plymouth
10087783,1996-11-28,05859,Manchester
10088270,1996-11-12,05880,Swansea
09054587,1996-11-27,01314,Aberdeen
10026515,1996-11-30,04808,Plymouth
02080564,1996-11-03,06559,Brimingham
09079678,1996-11-16,01032,Plymouth
08038087,1996-11-11,09928,Cambridge
05058127,1996-11-14,07355,Glasgow
04056778,1996-11-24,00512,Southamton
07085891,1996-11-29,02856,Liverpool
01060151,1996-11-07,04823,Glasgow
08028959,1996-11-14,07269,Cardiff
08076699,1996-11-10,01287,Brimingham
08001410,1996-11-03,01449,Brimingham
09058602,1996-11-30,08911,Carlisle
04039098,1996-11-05,09989,Newcastle
09054872,1996-11-29,09498,Grimsby
04022228,1996-11-23,01616,Manchester
06081452,1996-11-01,03786,Felixstowe
06059309,1996-11-06,07402,Carlisle
06030165,1996-11-07,08469,Glasgow
00064024,1996-11-20,09911,Grimsby
06081704,1996-11-04,04597,Sheffield
03014253,1996-11-24,00787,London
05003373,1996-11-14,07372,Southamton
07015662,1996-11-04,08557,Southamton
03072431,1996-11-14,08349,Plymouth
08002271,1996-11-03,08226,Felixstowe
03089295,1996-11-18,09107,Edinburgh
04063060,1996-11-02,06959,Newcastle
03095837,1996-11-20,09955,Carlisle
09063864,1996-11-06,03784,Aberdeen
03098047,1996-11-23,03156,Cambridge
10076950,1996-11-26,02186,Cambridge
08037905,1996-11-01,06402,Liverpool
01046185,1996-11-01,04863,Grimsby
08060207,1996-11-30,06776,Grimsby
09011399,1996-11-08,06179,Plymouth
02042813,1996-11-26,08750,Liverpool
04014665,1996-11-22,08379,Edinburgh
10075100,1996-11-15,06835,London
09005093,1996-11-18,01292,Aberdeen
10016461,1996-11-19,08285,Glasgow
02060867,1996-11-24,02055,Plymouth
05017346,1996-11-18,05969,Swansea
06012804,1996-11-25,04508,Sheffield
06054546,1996-11-14,07047,Carlisle
02014944,1996-11-24,04425,Edinburgh
00023002,1996-11-26,03879,Cardiff
02032217,1996-11-29,00476,Edinburgh
00093562,1996-11-01,01135,Felixstowe
00041908,1996-11-11,03021,Dover
07036159,1996-11-22,09084,Aberdeen
03022677,1996-11-22,09284,Plymouth
02031594,1996-11-25,09616,Edinburgh
09048496,1996-11-28,00115,Plymouth
03079612,1996-11-11,08701,Grimsby
08010933,1996-11-01,08020,Plymouth
06043644,1996-11-17,05401,Liverpool
05085536,1996-11-22,04073,Brimingham
07029451,1996-11-20,06110,Felixstowe
03095240,1996-11-11,06459,Manchester
03097111,1996-11-24,03250,Felixstowe
00020936,1996-11-26,01742,Carlisle
10091428,1996-11-26,01426,Southamton
00046741,1996-11-13,06764,Cardiff
03036341,1996-11-04,09505,Manchester
08079064,1996-11-01,01490,Felixstowe
01095041,1996-11-24,05881,Swansea
05063080,1996-11-21,05792,Brimingham
01014923,1996-11-26,08793,Southamton
08059781,1996-11-24,02494,Glasgow
09007761,1996-11-25,06638,Cardiff
04013697,1996-11-28,04204,London
01086394,1996-11-19,09019,Cambridge
08009842,1996-11-06,00322,Aberdeen
05091206,1996-11-24,08201,Glasgow
04083652,1996-11-29,01700,Manchester
00019883,1996-11-18,08018,Cardiff
06042010,1996-11-16,00520,London
04076728,1996-11-01,01027,Carlisle
00014197,1996-11-18,00675,Edinburgh
09074332,1996-11-14,03424,Newcastle
08057100,1996-11-07,00702,Newcastle
09010153,1996-11-15,06411,Carlisle
05061547,1996-11-04,07396,Grimsby
01045706,1996-11-30,06666,Grimsby
05073877,1996-11-06,04994,Glasgow
10083374,1996-11-10,09232,Plymouth
04060258,1996-11-08,00354,Manchester
08036505,1996-11-21,09571,Glasgow
07011822,1996-11-03,09895,Carlisle
00080704,1996-11-17,01455,Dover
10074580,1996-11-08,04754,Dover
04020605,1996-11-03,02059,Newcastle
10008613,1996-11-29,03005,Plymouth
07074193,1996-11-16,02303,Sheffield
01030311,1996-11-21,06304,Manchester
10009577,1996-11-24,02088,Southamton
10020440,1996-11-15,08190,Cambridge
10078625,1996-11-08,02764,Cambridge
03064490,1996-11-10,00965,Swansea
03055515,1996-11-10,04419,Dover
05046345,1996-11-10,05350,Sheffield
07003593,1996-11-04,08596,Glasgow
04016011,1996-11-09,05588,Cardiff
09080243,1996-11-18,00293,Edinburgh
06058564,1996-11-19,06690,Aberdeen
05026340,1996-11-22,02618,Grimsby
04019990,1996-11-28,07685,Cardiff
06034752,1996-11-24,08649,London
01051676,1996-11-26,08532,Plymouth
05093659,1996-11-27,07589,Carlisle
05012338,1996-11-09,09055,Cambridge
08087338,1996-11-05,01015,Brimingham
00093913,1996-11-27,06246,Brimingham
06045494,1996-11-02,09641,Swansea
03090109,1996-11-01,08773,Felixstowe
06074537,1996-11-17,02375,Grimsby
03000839,1996-11-18,02420,Edinburgh
08090282,1996-11-08,04965,Sheffield
08064564,1996-11-18,07556,Swansea
06030712,1996-11-17,02254,Edinburgh
10087693,1996-11-25,01036,Newcastle
00090025,1996-11-06,05231,Manchester
08007161,1996-11-14,06342,Liverpool
05008540,1996-11-18,07408,Southamton
03006815,1996-11-30,03337,Edinburgh
01043918,1996-11-12,00757,Cardiff
06032068,1996-11-09,03752,Newcastle
03031562,1996-11-08,07877,Brimingham
06008479,1996-11-14,04338,Aberdeen
07053941,1996-11-27,03829,Swansea
02031341,1996-11-26,01530,Liverpool
04071150,1996-11-19,04343,Felixstowe
06078879,1996-11-12,00564,Grimsby
07019137,1996-11-07,02155,Aberdeen
10070624,1996-11-11,02271,Swansea
10061517,1996-11-25,08558,Grimsby
02053930,1996-11-19,04548,Southamton
00090088,1996-11-07,07478,Sheffield
00038094,1996-11-08,09770,Newcastle
08020311,1996-11-15,01906,Brimingham
10077570,1996-11-29,04336,Swansea
03034410,1996-11-05,03410,Newcastle
10066183,1996-11-04,07398,Glasgow
09088352,1996-11-18,08011,Felixstowe
09056698,1996-11-05,02667,Cambridge
00069252,1996-11-21,04011,London
09047090,1996-11-01,08592,Dover
06064312,1996-11-20,04824,Grimsby
06016505,1996-11-21,04572,Swansea
00021539,1996-11-21,00824,Edinburgh
02091255,1996-11-20,00615,Brimingham
07001609,1996-11-07,09382,Sheffield
00053364,1996-11-02,02259,Grimsby
02023554,1996-11-18,01560,London
05026793,1996-11-26,01741,Manchester
05041414,1996-11-12,08260,Aberdeen
10039286,1996-11-08,01679,Edinburgh
05037163,1996-11-30,08064,Plymouth
09084689,1996-11-08,07117,Cardiff
02067581,1996-11-24,02249,Cardiff
09001850,1996-11-24,01790,Liverpool
04084417,1996-11-18,04168,Plymouth
03047001,1996-11-19,00228,Cardiff
08024537,1996-11-02,07617,Felixstowe
00077505,1996-11-18,01458,Liverpool
09049151,1996-11-26,06173,Plymouth
02074226,1996-11-05,05407,London
09075918,1996-11-06,01306,Liverpool
00016158,1996-11-06,03467,Edinburgh
01061513,1996-11-04,00379,Newcastle
09042514,1996-11-30,00224,Swansea
05098561,1996-11-06,01710,Sheffield
08053083,1996-11-03,03836,Carlisle
10030092,1996-11-20,08766,Manchester
02016293,1996-11-25,05806,Liverpool
08055260,1996-11-21,06275,Cardiff
01071902,1996-11-01,01274,Aberdeen
08052893,1996-11-18,02880,Aberdeen
07015831,1996-11-30,05888,Dover
01007172,1996-11-19,06959,Manchester
05059378,1996-11-05,01055,Glasgow
10014751,1996-11-05,00201,Brimingham
07077840,1996-11-29,02402,Plymouth
06058655,1996-11-01,07059,Carlisle
01017110,1996-11-21,07960,Edinburgh
03024955,1996-11-06,01782,Manchester
06088420,1996-11-09,01509,Plymouth
06052623,1996-11-03,09854,Carlisle
07074852,1996-11-22,07908,Swansea
00083722,1996-11-14,00890,Edinburgh
10079605,1996-11-17,05448,Aberdeen
08044576,1996-11-20,00178,Brimingham
07062105,1996-11-30,09948,Plymouth
09007707,1996-11-28,07316,Edinburgh
04043329,1996-11-14,03612,Sheffield
07099868,1996-11-21,04751,Newcastle
01060963,1996-11-10,01810,Brimingham
00085287,1996-11-15,09619,Felixstowe
06071888,1996-11-21,04603,Liverpool
00066610,1996-11-23,09415,Edinburgh
00036264,1996-11-22,06248,Grimsby
09043420,1996-11-04,03280,Carlisle
09079959,1996-11-11,08188,Brimingham
06068018,1996-11-16,03059,Plymouth
01029477,1996-11-18,04065,Grimsby
04004488,1996-11-08,01962,Plymouth
01003828,1996-11-04,02371,London
06015843,1996-11-10,03975,Brimingham
08080107,1996-11-23,05148,Southamton
04047557,1996-11-24,05317,London
03030166,1996-11-03,07763,Glasgow
00010647,1996-11-19,00546,Swansea
04044475,1996-11-25,02605,Edinburgh
04085470,1996-11-06,00921,Cambridge
02056074,1996-11-17,02053,Glasgow
03045512,1996-11-06,07721,Manchester
04005971,1996-11-04,07096,Plymouth
04047242,1996-11-28,02303,Cardiff
00042126,1996-11-15,05761,Grimsby
08090430,1996-11-19,04396,Manchester
10076972,1996-11-16,04357,Plymouth
10033461,1996-11-09,07008,Grimsby
06051897,1996-11-04,08406,London
05019718,1996-11-24,07069,Swansea
00098132,1996-11-07,04313,Sheffield
08099193,1996-11-02,00078,Manchester
10082534,1996-11-17,06177,Swansea
05057020,1996-11-17,08047,Southamton
08056364,1996-11-10,01614,Swansea
00000472,1996-11-10,08371,Dover
09011627,1996-11-19,05036,Cardiff
10016841,1996-11-14,06280,Felixstowe
00018272,1996-11-04,01199,Aberdeen
10019213,1996-11-06,06965,Swansea
10073640,1996-11-24,01236,Manchester
00062780,1996-11-30,07947,Manchester
01016757,1996-11-06,05412,Sheffield
01005636,1996-11-21,05581,Manchester
03035679,1996-11-03,09194,Liverpool
01077908,1996-11-19,00194,Dover
05052225,1996-11-28,05448,Grimsby
08018142,1996-11-08,06238,Grimsby
00054399,1996-11-06,08166,Carlisle
03055434,1996-11-09,06826,London
06042360,1996-11-06,05341,Southamton
09071023,1996-11-17,07269,Manchester
09015145,1996-11-01,04633,Southamton
07021954,1996-11-14,05214,Felixstowe
00047532,1996-11-14,01386,Cambridge
00038752,1996-11-05,01843,Grimsby
01036901,1996-11-05,00271,Aberdeen
01082552,1996-11-28,09595,Plymouth
10063705,1996-11-10,02943,Swansea
05087290,1996-11-03,08933,Swansea
06034212,1996-11-20,04472,London
01093976,1996-11-16,08544,Swansea
05024568,1996-11-29,05334,Plymouth
00026434,1996-11-30,04436,Brimingham
07086672,1996-11-11,07420,Southamton
01067505,1996-11-09,06119,Cardiff
03066682,1996-11-16,08439,London
06099341,1996-11-05,03681,Cambridge
00073923,1996-11-04,02233,Swansea
03094232,1996-11-08,06203,Aberdeen
02050937,1996-11-27,01008,Felixstowe
04068158,1996-11-15,05333,Sheffield
02010445,1996-11-30,08001,Cambridge
02060196,1996-11-25,02773,Aberdeen
05016362,1996-11-04,06878,Plymouth
09044940,1996-11-12,04621,Aberdeen
09069191,1996-11-24,00993,Cambridge
01008938,1996-11-05,09366,Sheffield
06085190,1996-11-10,01158,Felixstowe
02088920,1996-11-12,05436,Cambridge
03018463,1996-11-13,06389,Southamton
01090020,1996-11-21,07431,Manchester
01095345,1996-11-14,02262,Swansea
02054813,1996-11-03,09900,Aberdeen
07003830,1996-11-11,08035,Edinburgh
07087903,1996-11-05,07258,London
05023057,1996-11-02,02394,Cardiff
08099904,1996-11-25,01935,Felixstowe
05037318,1996-11-30,09404,Grimsby
00029632,1996-11-09,08358,Southamton
08085517,1996-11-09,09826,Grimsby
07008761,1996-11-07,04798,Carlisle
09055839,1996-11-15,02723,Swansea
08070631,1996-11-23,07628,Grimsby
07003098,1996-11-08,09249,Cambridge
03046422,1996-11-22,07609,Liverpool
10042482,1996-11-09,00055,Dover
05024740,1996-11-20,03711,Grimsby
03008533,1996-11-28,03886,Aberdeen
01023501,1996-11-10,01295,Plymouth
04089620,1996-11-17,02736,Plymouth
00065980,1996-11-11,02488,Grimsby
03010355,1996-11-06,02024,Plymouth
05023584,1996-11-09,01687,Cambridge
05076462,1996-11-09,07472,Swansea
01078835,1996-11-18,07803,Felixstowe
01088086,1996-11-09,00358,Newcastle
09066812,1996-11-17,06759,Aberdeen
04091320,1996-11-06,08013,London
10032497,1996-11-04,03174,Sheffield
03027173,1996-11-15,00793,London
01090664,1996-11-10,01364,Felixstowe
01041287,1996-11-22,07918,Plymouth
00015361,1996-11-03,09395,Swansea
02053154,1996-11-23,07708,Cambridge
10010831,1996-11-30,03334,Edinburgh
02048303,1996-11-22,06229,Brimingham
06075463,1996-11-22,09072,Plymouth
04064140,1996-11-09,05689,Southamton
06069226,1996-11-14,09966,Newcastle
06000321,1996-11-24,00409,Sheffield
00017122,1996-11-22,02438,Glasgow
06024875,1996-11-02,05281,Felixstowe
08029741,1996-11-07,05325,Brimingham
00054295,1996-11-21,08924,Plymouth
10069984,1996-11-20,05028,Southamton
04015922,1996-11-26,02606,Sheffield
05065018,1996-11-13,07441,Newcastle
07012193,1996-11-16,08886,Dover
10084141,1996-11-26,08470,Sheffield
01073484,1996-11-17,09890,Southamton
00015464,1996-11-24,04898,Grimsby
09017914,1996-11-13,06174,Cardiff
05002254,1996-11-14,08109,Liverpool
00010598,1996-11-28,08154,Edinburgh
07043754,1996-11-23,05145,Edinburgh
02044234,1996-11-03,00922,Aberdeen
04005897,1996-11-22,05139,Southamton
07041247,1996-11-21,04823,Grimsby
01004596,1996-11-12,03860,Aberdeen
00071827,1996-11-27,06328,Swansea
04063462,1996-11-09,09614,Grimsby
00050836,1996-11-02,07254,Carlisle
07015835,1996-11-30,01805,Newcastle
04012810,1996-11-26,03826,Carlisle
06049059,1996-11-29,08846,Manchester
00041137,1996-11-08,00526,Grimsby
09075282,1996-11-17,06567,Swansea
00085245,1996-11-03,00810,Southamton
03078515,1996-11-17,05122,Plymouth
06083851,1996-11-24,05904,Dover
03070139,1996-11-01,00917,Plymouth
09044591,1996-11-08,06292,Carlisle
05033409,1996-11-22,08807,Dover
06014085,1996-11-15,09699,Glasgow
10074233,1996-11-01,02821,Swansea
03042887,1996-11-10,00682,Cambridge
01089683,1996-11-18,09974,Edinburgh
10015514,1996-11-07,06505,Swansea
05090264,1996-11-30,03524,London
05087562,1996-11-19,02669,London
09016955,1996-11-11,01357,Dover
10078729,1996-11-27,07434,Newcastle
03081569,1996-11-24,03293,Glasgow
04008458,1996-11-28,05733,Grimsby
06021877,1996-11-21,06119,Grimsby
09018495,1996-11-27,02250,Sheffield
00017077,1996-11-26,02565,Cambridge
03097588,1996-11-21,09002,Carlisle
10040799,1996-11-02,06199,Newcastle
06018997,1996-11-26,04436,Cardiff
09087472,1996-11-08,07592,Newcastle
05095437,1996-11-02,07546,Cambridge
05064470,1996-11-28,04781,Edinburgh
09037086,1996-11-15,00358,Grimsby
05094869,1996-11-13,02922,Carlisle
05012851,1996-11-22,06776,Aberdeen
05098448,1996-11-20,05908,Sheffield
07052833,1996-11-30,03289,Edinburgh
00081411,1996-11-28,01579,Edinburgh
06082830,1996-11-06,05854,Swansea
03022212,1996-11-05,05042,Dover
06068604,1996-11-14,02084,Plymouth
02006584,1996-11-04,05632,Plymouth
10041589,1996-11-13,01319,Cardiff
06014226,1996-11-17,02439,Swansea
01009256,1996-11-08,00699,Manchester
01052173,1996-11-14,03211,Manchester
07031131,1996-11-29,03758,Newcastle
03068315,1996-11-18,06013,Carlisle
01078158,1996-11-19,04801,Plymouth
06017739,1996-11-24,04940,London
10023621,1996-11-13,02998,Edinburgh
09068657,1996-11-02,09411,Sheffield
10029606,1996-11-21,09286,Liverpool
10037282,1996-11-24,00489,Sheffield
00005004,1996-11-19,09488,Felixstowe
04030275,1996-11-03,02706,Cardiff
01081155,1996-11-25,09987,Cambridge
07075527,1996-11-11,09762,Cardiff
08050893,1996-11-01,01256,Glasgow
01073479,1996-11-22,05689,Swansea
00004706,1996-11-03,09166,Grimsby
01038535,1996-11-18,06827,Newcastle
03036468,1996-11-03,09806,London
01089230,1996-11-29,02379,Southamton
03064797,1996-11-04,06956,Newcastle
00024792,1996-11-21,02564,Plymouth
01096071,1996-11-07,00978,Liverpool
01054455,1996-11-07,05947,Glasgow
10010047,1996-11-17,05195,Dover
03052547,1996-11-30,04028,Grimsby
04053898,1996-11-19,01702,Sheffield
08021119,1996-11-06,00101,Dover
03010131,1996-11-07,06077,Cambridge
04027720,1996-11-09,04615,Edinburgh
04046263,1996-11-22,05117,Grimsby
01065692,1996-11-08,08432,Liverpool
02067198,1996-11-10,08473,Carlisle
07026782,1996-11-28,03774,Felixstowe
02088214,1996-11-24,04005,Sheffield
06050580,1996-11-10,07197,Swansea
00038925,1996-11-08,06785,Aberdeen
07048701,1996-11-23,01916,Grimsby
01078760,1996-11-09,08778,Southamton
07013613,1996-11-16,03480,Carlisle
01018462,1996-11-03,08614,Glasgow
02004412,1996-11-24,06038,Southamton
02006491,1996-11-23,07456,Felixstowe
03071068,1996-11-08,06366,Brimingham
04015443,1996-11-23,02803,Plymouth
00075798,1996-11-21,01580,Plymouth
08028411,1996-11-07,05327,Sheffield
04091992,1996-11-15,08809,Manchester
06030609,1996-11-08,00252,Cardiff
00075567,1996-11-01,03534,Felixstowe
06047080,1996-11-13,01902,Southamton
02053786,1996-11-16,09922,Liverpool
09038620,1996-11-15,07162,Cambridge
10037409,1996-11-25,00859,Plymouth
08039667,1996-11-20,08291,Liverpool
04075922,1996-11-19,03321,London
10073552,1996-11-05,03542,Grimsby
04056019,1996-11-26,09322,Sheffield
02027408,1996-11-03,02962,Dover
03061734,1996-11-01,05159,Liverpool
00054110,1996-11-29,08982,Edinburgh
06024164,1996-11-23,07671,Newcastle
02015935,1996-11-09,04101,Aberdeen
01024313,1996-11-06,06556,Manchester
03011043,1996-11-24,05660,Felixstowe
03006808,1996-11-04,04678,Southamton
08013452,1996-11-11,03740,Newcastle
03086869,1996-11-08,06297,Carlisle
03040476,1996-11-14,04164,Southamton
08002668,1996-11-27,03792,Grimsby
06052264,1996-11-29,09960,Swansea
