Invoice,Product,Quantity,Price
02077521,Milk,4,3.2
02077521,Cheese,0.5,0.95
02077521,Ham,1.5,2.4
02077521,Soap,3,0.75
04023779,Tomatos,0.29,0.04
04023779,Crackers,4,2.8
04023779,Pork,0.74,1.41
04023779,Rice,5.0,3.75
04023779,Toilet Paper,6,1.5
04023779,Soda,1,1.1
04023779,Mushrooms,0.55,1.27
04023779,Raisins,0.5,0.23
04023779,Detergent,0.5,0.75
06049164,Lettuce,3.13,3.91
06049164,Cereal,2,5.6
01099757,Cheese,1.5,2.85
01099757,Salt,0.25,0.03
01099757,Beef,1.97,4.33
01099757,Wine,3,10.2
01099757,Shampoo,1,3.11
01099757,Detergent,2.0,3.0
07058928,Ham,0.5,0.8
07058928,Detergent,0.5,0.75
07058928,Eggs,30,24.0
06007262,Tomatos,2.17,0.33
06007262,Rice,5.0,3.75
06007262,Peaches,1.38,1.3
06007262,Tuna,1,1.0
05003235,Eggs,12,9.6
05003235,Tomatos,0.73,0.11
05003235,Bleach,2,1.6
05003235,Salt,0.5,0.05
05003235,Cereal,3,8.4
09005965,Soda,3,3.3
09005965,Peas,0.52,0.16
09005965,Raisins,0.5,0.23
10037627,Oranges,1.82,0.51
10037627,Mushrooms,0.69,1.59
10037627,Water,6,1.32
10037627,Shampoo,1,3.11
10037627,Potatos,3.27,0.39
10037627,Raisins,0.25,0.11
10037627,Cheese,2.0,3.8
10037627,Flour,1,0.5
10037627,Bleach,1,0.8
01073288,Lettuce,3.98,4.98
01073288,Toothpaste,2,1.6
01073288,Soda,4,4.4
01073288,Water,6,1.32
01073288,Cheese,1.0,1.9
01073288,Milk,3,2.4
01073288,Apples,2.62,0.79
01073288,Bleach,3,2.4
01003415,Corn,2.5,0.5
01003415,Peas,1.77,0.53
05052378,Milk,4,3.2
05052378,Cereal,3,8.4
05052378,Rice,4.0,3.0
05052378,Chiken,1.71,3.08
05052378,Pork,1.86,3.53
05052378,Tomatos,0.65,0.1
05052378,Lettuce,1.06,1.33
05052378,Toilet Paper,18,4.5
05052378,Diapers,40,96.0
07065682,Beer,6,9.0
07065682,Milk,1,0.8
07065682,Peaches,0.66,0.62
07065682,Cheese,1.0,1.9
07065682,Mushrooms,0.89,2.05
07065682,Tomatos,2.43,0.36
07065682,Pork,1.3,2.47
07065682,Cooking Oil,2.5,3.0
07065682,Grapes,0.58,0.27
06067908,Detergent,1.0,1.5
06067908,Diapers,32,76.8
06067908,Chiken,0.89,1.6
06067908,Ham,2.0,3.2
06067908,Apples,1.63,0.49
09093372,Crackers,5,3.5
09093372,Grapes,0.72,0.33
03030207,Lettuce,1.84,2.3
03030207,Shampoo,2,6.22
03047768,Rice,4.0,3.0
00009958,Peaches,2.08,1.96
00009958,Wine,2,6.8
00009958,Shampoo,1,3.11
00009958,Soda,6,6.6
00009958,Raisins,0.5,0.23
00009958,Lettuce,4.27,5.34
00009958,Mushrooms,0.47,1.08
00009958,Pork,2.46,4.67
00009958,Eggs,6,4.8
00009958,Toothpaste,4,3.2
09005801,Toothpaste,1,0.8
09005801,Grapes,1.72,0.79
09005801,Wine,2,6.8
09005801,Pork,1.06,2.01
09005801,Ham,2.0,3.2
03066882,Toilet Paper,24,6.0
03066882,Cereal,3,8.4
03066882,Bleach,2,1.6
10076668,Oranges,2.52,0.71
10076668,Lettuce,3.21,4.01
02059804,Soda,6,6.6
02059804,Mushrooms,0.55,1.27
02059804,Peas,2.24,0.67
02059804,Peaches,0.49,0.46
02059804,Pork,3.45,6.56
02059804,Broccoli,1.97,0.61
02059804,Milk,3,2.4
02059804,Plums,0.26,0.26
02034008,Cooking Oil,2.5,3.0
02034008,Soda,4,4.4
02034008,Pasta,1.0,0.5
02034008,Eggs,12,9.6
02034008,Fish,1.63,2.28
02034008,Salt,0.5,0.05
02034008,Plums,1.22,1.22
02034008,Tuna,6,6.0
02034008,Raisins,0.5,0.23
02034008,Pears,1.4,0.46
08065986,Water,2,0.44
08065986,Sugar,1.0,0.4
08065986,Apples,3.31,0.99
08065986,Pears,1.94,0.64
08065986,Rice,0.5,0.38
08065986,Cooking Oil,0.5,0.6
08065986,Wine,2,6.8
08065986,Cereal,2,5.6
08065986,Pasta,2.0,1.0
08065986,Toothpaste,2,1.6
00056041,Tomatos,0.22,0.03
00056041,Chiken,3.26,5.87
04076292,Apples,2.96,0.89
04076292,Milk,1,0.8
03009672,Pears,3.89,1.28
03009672,Oranges,3.1,0.87
03009672,Ham,0.5,0.8
03009672,Grapes,1.2,0.55
03009672,Beer,18,27.0
00031925,Shampoo,1,3.11
00031925,Milk,4,3.2
00031925,Peaches,1.92,1.8
00031925,Mushrooms,0.42,0.97
00031925,Fish,1.45,2.03
00031925,Salt,0.5,0.05
00031925,Beer,6,9.0
10001991,Cereal,3,8.4
10001991,Beef,1.65,3.63
10001991,Tomatos,2.45,0.37
10001991,Bleach,3,2.4
10001991,Salt,0.5,0.05
10001991,Soda,8,8.8
10001991,Cookies,1,1.1
10001991,Pears,1.88,0.62
10001991,Beer,24,36.0
01017304,Cheese,1.5,2.85
01017304,Mushrooms,0.5,1.15
01017304,Pears,2.57,0.85
01017304,Apples,2.17,0.65
01017304,Wine,1,3.4
01017304,Raisins,0.25,0.11
01017304,Grapes,1.31,0.6
01017304,Oranges,1.97,0.55
01017304,Ham,1.0,1.6
01017304,Salt,0.75,0.08
02073911,Diapers,48,115.2
02073911,Lemons,0.49,0.05
02073911,Sausages,1.5,3.6
09019204,Tomatos,2.12,0.32
09019204,Detergent,2.0,3.0
09019204,Soap,2,0.5
09019204,Flour,3,1.5
03058171,Ham,2.0,3.2
03058171,Raisins,1,0.45
03058171,Milk,4,3.2
03058171,Chiken,1.21,2.18
03058171,Sugar,1.0,0.4
03058171,Beer,6,9.0
03058171,Corn,3.45,0.69
03058171,Tomatos,2.62,0.39
03058171,Sausages,0.5,1.2
07030567,Peaches,1.76,1.65
07030567,Pasta,2.0,1.0
07030567,Water,6,1.32
07030567,Shampoo,1,3.11
07030567,Lettuce,4.34,5.43
09073658,Potatos,3.91,0.47
09073658,Crackers,1,0.7
09073658,Raisins,0.5,0.23
09073658,Pears,2.27,0.75
08035956,Pork,2.01,3.82
08035956,Cooking Oil,2.0,2.4
08035956,Beer,6,9.0
08068505,Apples,1.38,0.41
08068505,Peaches,0.72,0.68
01062982,Flour,3,1.5
01062982,Cereal,3,8.4
01062982,Pears,3.54,1.17
01062982,Soda,2,2.2
01062982,Shampoo,2,6.22
01062982,Milk,6,4.8
01062982,Cooking Oil,1.0,1.2
05061782,Peaches,0.62,0.58
05061782,Soda,5,5.5
05061782,Rice,0.5,0.38
05061782,Eggs,12,9.6
05061782,Plums,1.5,1.5
06002434,Peas,2.58,0.77
06002434,Potatos,1.94,0.23
06002434,Plums,1.42,1.42
06002434,Shampoo,1,3.11
03033703,Pasta,0.5,0.25
03033703,Toilet Paper,12,3.0
03033703,Raisins,1,0.45
03033703,Flour,2,1.0
10031818,Salt,1.0,0.1
10031818,Oranges,1.84,0.52
10031818,Shampoo,1,3.11
10031818,Broccoli,0.92,0.29
10031818,Sausages,1.0,2.4
10031818,Rice,2.0,1.5
10031818,Tuna,1,1.0
10031818,Bleach,1,0.8
09020933,Cooking Oil,1.0,1.2
09020933,Plums,0.86,0.86
09020933,Tomatos,2.7,0.41
09020933,Cookies,4,4.4
09020933,Beef,2.14,4.71
09020933,Rice,3.0,2.25
06059330,Lettuce,4.28,5.35
06059330,Broccoli,1.98,0.61
06059330,Pasta,1.5,0.75
06059330,Shampoo,1,3.11
06059330,Soap,4,1.0
06006003,Pears,2.62,0.86
06006003,Water,4,0.88
06006003,Apples,1.66,0.5
06006003,Mushrooms,0.53,1.22
07013689,Crackers,6,4.2
07013689,Apples,3.54,1.06
10005453,Cookies,1,1.1
10005453,Corn,1.7,0.34
10005453,Beef,2.62,5.76
10005453,Peaches,0.65,0.61
10005453,Sugar,1.0,0.4
00087589,Soda,2,2.2
00087589,Tuna,4,4.0
00087589,Lemons,0.41,0.04
00087589,Bleach,3,2.4
01057077,Oranges,3.23,0.9
01057077,Tomatos,1.79,0.27
01057077,Raisins,0.5,0.23
01057077,Pasta,1.5,0.75
01057077,Beef,2.45,5.39
01057077,Sugar,1.0,0.4
01057077,Ham,2.0,3.2
01057077,Corn,3.04,0.61
01057077,Broccoli,0.51,0.16
01057077,Milk,3,2.4
03006654,Peaches,0.49,0.46
01084359,Tuna,3,3.0
01084359,Pears,1.54,0.51
01084359,Rice,1.5,1.13
09092500,Pasta,1.5,0.75
09092500,Lemons,0.74,0.07
09092500,Diapers,16,38.4
09092500,Bleach,3,2.4
04078366,Chiken,1.79,3.22
04078366,Bleach,2,1.6
04078366,Sausages,1.0,2.4
04078366,Peaches,0.81,0.76
04078366,Oranges,2.53,0.71
04078366,Eggs,36,28.8
08076068,Grapes,1.87,0.86
08076068,Cheese,1.0,1.9
08076068,Chiken,1.55,2.79
08076068,Pork,3.0,5.7
08076068,Fish,1.3,1.82
08076068,Crackers,4,2.8
08076068,Potatos,4.56,0.55
08076068,Soda,7,7.7
08076068,Tuna,2,2.0
08076068,Diapers,16,38.4
09094671,Diapers,24,57.6
09094671,Broccoli,1.66,0.51
05009740,Mushrooms,0.34,0.78
05009740,Beer,6,9.0
10053445,Raisins,0.5,0.23
10053445,Shampoo,1,3.11
10053445,Soap,4,1.0
05081835,Flour,2,1.0
03077038,Wine,3,10.2
03077038,Fish,1.76,2.46
03077038,Rice,4.0,3.0
03077038,Cooking Oil,2.0,2.4
03077038,Mushrooms,0.96,2.21
03077038,Ham,0.5,0.8
03077038,Eggs,30,24.0
03077038,Pork,3.23,6.14
03077038,Peas,1.31,0.39
05089989,Bleach,3,2.4
05089989,Cookies,1,1.1
05089989,Sausages,1.5,3.6
05089989,Detergent,0.5,0.75
08056326,Ham,1.0,1.6
08056326,Cookies,5,5.5
05019107,Chiken,2.97,5.35
05019107,Soda,7,7.7
05019107,Pears,1.26,0.42
05019107,Milk,4,3.2
05019107,Lemons,0.23,0.02
05019107,Potatos,3.12,0.37
05019107,Rice,1.5,1.13
05019107,Toothpaste,4,3.2
05019107,Cookies,3,3.3
05019107,Cheese,1.5,2.85
01046876,Mushrooms,0.68,1.56
01046876,Potatos,1.46,0.18
03095046,Soda,6,6.6
03095046,Peaches,2.08,1.96
03095046,Toothpaste,4,3.2
01030516,Peas,1.03,0.31
01030516,Raisins,0.5,0.23
01030516,Shampoo,2,6.22
01030516,Detergent,1.5,2.25
01030516,Peaches,0.57,0.54
06033198,Toilet Paper,6,1.5
05052604,Eggs,30,24.0
05052604,Milk,3,2.4
05052604,Cookies,2,2.2
05052604,Tuna,4,4.0
05052604,Plums,1.03,1.03
05052604,Oranges,1.61,0.45
05052604,Corn,1.98,0.4
05052604,Peas,2.58,0.77
05052604,Cheese,1.0,1.9
00055606,Chiken,2.93,5.27
00055606,Tomatos,2.99,0.45
00055606,Cereal,1,2.8
00055606,Cookies,4,4.4
00055606,Cheese,2.0,3.8
00055606,Sausages,0.5,1.2
06029904,Pork,1.68,3.19
06029904,Chiken,3.94,7.09
06029904,Cooking Oil,3.0,3.6
06029904,Raisins,0.5,0.23
06029904,Milk,5,4.0
01072339,Cookies,6,6.6
01072339,Diapers,16,38.4
01072339,Chiken,2.34,4.21
01072339,Eggs,24,19.2
01072339,Water,5,1.1
01072339,Grapes,2.45,1.13
01072339,Raisins,1,0.45
01072339,Cereal,3,8.4
01072339,Peaches,0.6,0.56
01072339,Pears,1.68,0.55
00033254,Potatos,2.04,0.24
00033254,Peas,2.41,0.72
00033254,Cooking Oil,2.5,3.0
00033254,Beef,1.91,4.2
00033254,Chiken,1.4,2.52
00033254,Tomatos,0.24,0.04
00033254,Crackers,3,2.1
00033254,Lettuce,4.58,5.73
00033254,Ham,1.5,2.4
04070173,Tuna,5,5.0
04070173,Toothpaste,3,2.4
06010928,Water,1,0.22
06010928,Soap,2,0.5
06010928,Pasta,1.0,0.5
04052930,Pears,0.31,0.1
04052930,Broccoli,0.61,0.19
04052930,Peas,0.78,0.23
04052930,Peaches,2.18,2.05
04052930,Cooking Oil,2.0,2.4
04052930,Oranges,0.9,0.25
04052930,Chiken,0.96,1.73
04052930,Fish,1.54,2.16
01063242,Water,4,0.88
01063242,Soda,1,1.1
01063242,Sausages,0.5,1.2
01063242,Cheese,0.5,0.95
01063242,Diapers,16,38.4
01063242,Peaches,2.25,2.11
01063242,Beef,2.74,6.03
01063242,Toilet Paper,24,6.0
01063242,Ham,2.0,3.2
01063242,Plums,0.57,0.57
00080597,Pasta,2.0,1.0
00080597,Flour,2,1.0
00080597,Apples,2.24,0.67
00080597,Lemons,0.37,0.04
00080597,Potatos,3.91,0.47
00080597,Tuna,6,6.0
00080597,Eggs,36,28.8
00080597,Detergent,1.0,1.5
00080597,Soda,7,7.7
06039460,Ham,2.0,3.2
06039460,Apples,3.55,1.07
06039460,Detergent,1.5,2.25
06039460,Diapers,48,115.2
06039460,Beef,2.4,5.28
06039460,Lettuce,1.69,2.11
06039460,Pears,1.5,0.5
06039460,Mushrooms,0.4,0.92
09080644,Tuna,3,3.0
09080644,Chiken,2.71,4.88
09080644,Potatos,1.47,0.18
09080644,Oranges,1.95,0.55
09080644,Toothpaste,2,1.6
09080644,Eggs,36,28.8
09080644,Pork,2.43,4.62
09080644,Lettuce,1.93,2.41
09055039,Milk,3,2.4
09055039,Cereal,3,8.4
09055039,Pasta,0.5,0.25
09055039,Cheese,1.0,1.9
09055039,Beef,2.31,5.08
09055039,Pears,0.73,0.24
09055039,Crackers,2,1.4
09055039,Corn,1.5,0.3
09055039,Eggs,30,24.0
09055039,Soda,6,6.6
04082860,Cereal,3,8.4
04082860,Oranges,0.81,0.23
04082860,Shampoo,2,6.22
04082860,Sugar,0.5,0.2
04082860,Detergent,1.0,1.5
04082860,Corn,1.95,0.39
04082860,Sausages,2.0,4.8
04082860,Grapes,0.93,0.43
04082860,Toothpaste,1,0.8
04082860,Lettuce,3.51,4.39
07085523,Cookies,3,3.3
07085523,Oranges,1.47,0.41
05065811,Cheese,1.5,2.85
05065811,Crackers,4,2.8
05065811,Broccoli,0.84,0.26
05065811,Lemons,0.83,0.08
05065811,Milk,2,1.6
05065811,Pork,1.59,3.02
03043166,Cooking Oil,2.5,3.0
04076163,Carrots,0.69,0.14
04076163,Tuna,5,5.0
04076163,Ham,0.5,0.8
04076163,Rice,4.0,3.0
04076163,Plums,0.88,0.88
04076163,Oranges,2.01,0.56
04076163,Grapes,1.6,0.74
04076163,Tomatos,1.9,0.29
02004108,Corn,1.37,0.27
02004108,Fish,1.47,2.06
02004108,Apples,1.03,0.31
02004108,Peaches,2.03,1.91
02004108,Cereal,2,5.6
02004108,Soap,6,1.5
02004108,Pears,0.9,0.3
03000415,Eggs,6,4.8
03000415,Flour,3,1.5
03000415,Shampoo,1,3.11
03000415,Bleach,3,2.4
03000415,Lettuce,1.48,1.85
03000415,Potatos,1.51,0.18
03000415,Tuna,4,4.0
03000415,Beer,24,36.0
03000415,Peas,2.14,0.64
05047769,Toilet Paper,12,3.0
05047769,Diapers,16,38.4
05047769,Ham,1.0,1.6
05047769,Raisins,1,0.45
04042142,Sugar,1.0,0.4
04042142,Lettuce,3.79,4.74
04042142,Broccoli,1.92,0.6
04042142,Beer,6,9.0
04042142,Eggs,18,14.4
04042142,Salt,0.5,0.05
04042142,Diapers,40,96.0
04042142,Water,2,0.44
04042142,Pork,3.45,6.56
06058209,Toilet Paper,24,6.0
06058209,Cereal,1,2.8
06058209,Corn,1.69,0.34
06058209,Rice,2.5,1.88
06058209,Pasta,1.5,0.75
06058209,Chiken,3.71,6.68
06058209,Tomatos,0.97,0.15
06058209,Peaches,2.11,1.98
06058209,Peas,2.78,0.83
05074861,Fish,1.55,2.17
05074861,Sugar,0.5,0.2
05074861,Sausages,2.0,4.8
05074861,Cookies,1,1.1
05074861,Pasta,0.5,0.25
05074861,Flour,3,1.5
05074861,Pears,3.42,1.13
05074861,Carrots,2.19,0.44
01097870,Cooking Oil,1.0,1.2
01097870,Peas,1.52,0.46
01097870,Rice,3.0,2.25
01097870,Detergent,2.0,3.0
01097870,Lemons,0.67,0.07
01017570,Pork,3.07,5.83
01017570,Beef,2.05,4.51
01017570,Beer,6,9.0
01017570,Toilet Paper,24,6.0
01017570,Sausages,1.0,2.4
01017570,Plums,0.69,0.69
01017570,Peas,0.89,0.27
09025601,Diapers,24,57.6
09025601,Potatos,0.93,0.11
09025601,Carrots,3.46,0.69
09025601,Pasta,2.0,1.0
09025601,Peaches,1.14,1.07
09025601,Cookies,6,6.6
09025601,Water,4,0.88
09025601,Peas,2.14,0.64
00034456,Cooking Oil,3.0,3.6
00034456,Rice,2.5,1.88
00034456,Toothpaste,2,1.6
00034456,Wine,3,10.2
00034456,Soda,1,1.1
08097182,Sugar,0.5,0.2
08097182,Apples,3.87,1.16
08006886,Tuna,5,5.0
08006886,Milk,3,2.4
08006886,Pork,3.67,6.97
08006886,Wine,1,3.4
08006886,Diapers,8,19.2
08006886,Peaches,1.62,1.52
08006886,Sugar,2.0,0.8
02031767,Crackers,2,1.4
02031767,Soda,5,5.5
02031767,Beer,6,9.0
02031767,Water,3,0.66
02031767,Rice,1.5,1.13
02031767,Lettuce,4.03,5.04
04067875,Salt,1.0,0.1
04067875,Bleach,2,1.6
04067875,Pears,2.94,0.97
04067875,Cookies,4,4.4
07076388,Cheese,1.5,2.85
09005390,Plums,1.07,1.07
09005390,Salt,0.5,0.05
09005390,Water,6,1.32
09005390,Crackers,1,0.7
09005390,Beer,12,18.0
09005390,Grapes,2.39,1.1
09005390,Toothpaste,4,3.2
09005390,Chiken,2.18,3.92
09005390,Lettuce,4.06,5.07
09005390,Mushrooms,0.58,1.33
08042888,Wine,1,3.4
08042888,Broccoli,1.2,0.37
08042888,Oranges,2.25,0.63
08042888,Peas,2.35,0.71
10094774,Broccoli,1.78,0.55
10094774,Peas,1.98,0.59
10050189,Detergent,0.5,0.75
10050189,Beer,12,18.0
10050189,Sausages,0.5,1.2
10050189,Shampoo,1,3.11
10050189,Cooking Oil,1.0,1.2
10050189,Salt,0.75,0.08
02035963,Peaches,1.98,1.86
10029270,Oranges,3.11,0.87
10029270,Salt,0.5,0.05
10029270,Fish,0.69,0.97
09041027,Peas,0.98,0.29
09041027,Corn,1.31,0.26
09041027,Shampoo,2,6.22
09041027,Peaches,1.44,1.35
07051332,Flour,1,0.5
07051332,Grapes,2.12,0.98
07051332,Diapers,40,96.0
07051332,Fish,1.15,1.61
07051332,Water,1,0.22
07051332,Tuna,2,2.0
07051332,Beer,12,18.0
07051332,Sugar,0.5,0.2
07051332,Potatos,1.57,0.19
04089677,Pears,1.14,0.38
04089677,Plums,0.32,0.32
04089677,Mushrooms,0.66,1.52
04089677,Lemons,0.36,0.04
04089677,Flour,1,0.5
05054846,Soda,7,7.7
01035426,Grapes,2.28,1.05
01035426,Apples,3.64,1.09
01035426,Chiken,2.87,5.17
01035426,Tomatos,2.23,0.33
01035426,Raisins,0.25,0.11
00074146,Pasta,2.0,1.0
00074146,Shampoo,2,6.22
00074146,Lettuce,4.76,5.95
00074146,Cereal,1,2.8
00074146,Oranges,3.36,0.94
00074146,Tomatos,0.77,0.12
00074146,Beef,2.56,5.63
00074146,Toothpaste,2,1.6
01069951,Potatos,1.19,0.14
01069951,Cheese,1.5,2.85
01069951,Milk,4,3.2
01069951,Broccoli,1.23,0.38
01069951,Flour,2,1.0
01069951,Pears,2.46,0.81
01069951,Chiken,3.5,6.3
01069951,Shampoo,2,6.22
01069951,Sausages,0.5,1.2
02050353,Oranges,2.3,0.64
02050353,Tuna,6,6.0
02050353,Broccoli,0.48,0.15
02050353,Soap,6,1.5
02050353,Pears,3.4,1.12
02050353,Ham,1.0,1.6
02050353,Beer,6,9.0
02050353,Toothpaste,2,1.6
02050353,Cooking Oil,0.5,0.6
02050353,Eggs,12,9.6
10007249,Carrots,1.04,0.21
10007249,Mushrooms,0.54,1.24
10007249,Soda,5,5.5
03067115,Milk,3,2.4
04045633,Cereal,2,5.6
04045633,Salt,0.25,0.03
04045633,Oranges,0.86,0.24
04045633,Soap,2,0.5
04045633,Wine,1,3.4
04045633,Diapers,24,57.6
04045633,Broccoli,1.41,0.44
04045633,Mushrooms,0.67,1.54
07079851,Soda,7,7.7
07079851,Pork,1.21,2.3
07079851,Tomatos,1.77,0.27
07079851,Mushrooms,0.89,2.05
07079851,Rice,3.0,2.25
07079851,Pears,2.5,0.83
07079851,Pasta,1.5,0.75
07079851,Corn,2.65,0.53
03061527,Flour,1,0.5
03061527,Oranges,3.03,0.85
03061527,Mushrooms,0.93,2.14
